,text,ratingVal,ratingCount,tags
9,"I started out with nothing, and I still have most of it.",77.05,470,"attitude, life"
0,Good health is merely the slowest possible rate at which one can die.,77.04,138,"health, life"
1,"My wife is so negative. I remembered the car seat, the stroller, AND the diaper bag. Yet all she can talk about is how I forgot the baby.",77.01,287,"car, kids, men"
2,"When an employment application asks who is to be notified in case of emergency, I always write, ""A very good doctor"".",76.99,483,"attitude, doctor, life, work"
3,"Any married man should forget his mistakes, there's no use in two people remembering the same thing.",76.86,414,"marriage, men, mistake, women"
4,Never laugh at your girlfriends choices... your one of them.,76.80,493,"love, women"
5,"I named my hard drive ""dat ass"" so once a month my computer asks if I want to 'back dat ass up'.",76.75,756,"IT, life"
6,Artificial intelligence is no match for natural stupidity.,76.72,421,"intelligence, stupid"
7,If I wanted to kill myself I'd climb your ego and jump to your IQ.,76.70,1128,"insults, intelligence, sarcastic"
8,You know that tingly little feeling you get when you like someone? That's your common sense leaving your body.,76.69,472,"intelligence, life, love"
9,I haven't spoken to my wife for 18 months- I don't like to interrupt her.,76.58,310,"marriage, men, women"
0,Can I have your picture so I can show Santa what I want for Christmas?,76.56,432,"beauty, Christmas, flirty, love"
1,There are two rules for success: 1) Don't tell all you know.,76.55,140,"money, success"
2,"If I ever need a heart transplant, I'd want my ex's. It's never been used.",76.55,483,"love, sarcastic, women"
3,"Two wrongs don't make a right, take your parents as an example.",76.46,1161,"family, insults, rude, sarcastic"
4,Is google a woman? Because it won't let you finish your sentence without coming up with other suggestions.,76.45,360,"life, women"
5,"I used to think I was indecisive, but now I'm not too sure.",76.43,308,"attitude, life"
6,"If you're not supposed to eat at night, why is there a light bulb in the refrigerator?",76.40,466,"attitude, life, women"
7,What's worse than waking up at a party and finding a penis drawn on your face? Finding out it was traced.,76.38,1251,"dirty, life"
8,Telling a girl to calm down works about as well as trying to baptize a cat.,76.34,611,"christian, sarcastic, women"
9,Outvoted 1-1 by my wife again.,76.29,482,"marriage, sarcastic, women"
0,I'm really good at stuff until people watch me do that stuff.,76.28,348,"life, sarcastic"
1,Team work is important; it helps to put the blame on someone else.,76.22,263,"attitude, life, work"
2,The light at the end of the tunnel has been turned off due to budget cuts.,76.20,77,"life, money"
3,"Intelligence is like an underwear. It is important that you have it, but not necessary that you show it off.",76.19,342,"intelligence, life"
4,I hate people who use big words just to make themselves look perspicacious.,76.06,377,"hate, sarcastic, stupid"
5,If you see me smiling it's because I'm thinking of doing something evil or naughty. If you see me laughing it's because I've already done it.,76.01,710,"attitude, sarcastic"
6,I'd like to see things from your point of view but I can't seem to get my head that far up my ass.,75.91,906,"attitude, hate, insults, rude"
7,Going to church doesn't make you a Christian any more than standing in a garage makes you a car.,75.90,438,"car, christian"
8,"I sometimes watch birds and wonder ""If I could fly who would I shit on?""",75.84,558,"animal, attitude, life"
9,Wifi went down during family dinner tonight. One kid started talking and I didn't know who he was.,75.79,272,"IT, kids, life"
0,A good wife always forgives her husband when she's wrong.,75.77,244,"marriage, women"
1,Love is telling someone to go to hell and worrying about them getting there safely.,75.74,299,"life, love"
2,Take my advice — I'm not using it.,75.71,248,"communication, sarcastic"
3,When I call a family meeting I turn off the house wifi and wait for them all to come running.,75.70,528,"attitude, family, life"
4,A clean house is the sign of a broken computer.,75.66,447,"IT, life, sarcastic"
5,"Regular naps prevent old age, especially if you take them while driving.",75.64,284,"age, life, retirement"
6,"If you can smile when things go wrong, you have someone in mind to blame.",75.63,182,"attitude, people"
7,"Thanks for explaining the word ""many"" to me, it means a lot.",75.63,224,"intelligence, mistake, stupid"
8,"I've been repeating the same mistakes in life for so long now, I think I'll start calling them traditions.",75.59,139,"attitude, life, mistake"
9,"My internet is so slow, it's just faster to drive to the Google headquarters and ask them shit in person.",75.58,158,"IT, sarcastic"
0,Entered what I ate today into my new fitness app and it just sent an ambulance to my house.,75.57,274,"attitude, food, IT, life"
1,America is a country which produces citizens who will cross the ocean to fight for democracy but won't cross the street to vote.,75.50,323,"fighting, political"
2,"When I see ads on TV with smiling, happy housewives using a new cleaning product, the only thing I want to buy are the meds they must be on.",75.47,282,"attitude, happiness, life, sarcastic"
3,"When I told the doctor about my loss of memory, he made me pay in advance.",75.46,143,"doctor, life, sarcastic"
4,She wanted a puppy. But I didn't want a puppy. So we compromised and got a puppy.,75.30,230,"animal, attitude, women"
5,My ex wrote to me: Can you delete my number? I responded: Who is this?,75.27,488,"marriage, men, women"
6,"For maximum attention, nothing beats a good mistake.",75.26,137,"attitude, life, mistake, sarcastic"
7,"I am a nobody, nobody is perfect, therefore I am perfect.",75.24,179,"attitude, motivational"
8,"Every time you talk to your wife, your mind should remember that... 'This conversation will be recorded for Training and Quality purpose'",75.22,288,"marriage, men, women"
9,There are three kinds of people: Those who can count and those who can't.,75.21,368,"life, people"
0,A fine is a tax for doing wrong. A tax is a fine for doing well.,75.18,274,political
1,The grass may be greener on the other side but at least you don't have to mow it.,74.97,107,"attitude, sarcastic"
2,"Why is the day that you do laundry, cook, clean, iron and so on, called a day off?",74.94,195,"attitude, motivational, sarcastic"
3,Your family tree must be a cactus because everybody on it is a prick.,74.94,1362,"family, insults"
4,"Moses was leading his people through the desert for 40 years. It seems, even in Biblical times men avoided asking the way.",74.92,172,"christian, men"
5,"Wife: ""I look fat. Can you give me a compliment?"" Husband: ""You have perfect eyesight.""",74.91,1260,"insults, marriage"
6,A conclusion is the part where you got tired of thinking.,74.89,244,"attitude, intelligence, sarcastic"
7,Whatever you do always give 100 %. Unless you are donating blood.,74.89,190,"life, motivational, sarcastic"
8,Maybe if we start telling people the brain is an app they will start using it.,74.83,47,"intelligence, IT, people"
9,"The difference between ""Girlfriend"" and ""Girl Friend"" is that little space in between we call the ""Friend Zone"".",74.82,479,"friendship, love, sarcastic"
0,"Top 3 situations that require witnesses:

1) Crimes
2) Accidents 
3) Marriages

Need I say more?",74.78,405,"marriage, sarcastic"
1,"I eat my tacos over a Tortilla. That way when stuff falls out, BOOM, another taco.",74.78,331,"attitude, food"
2,"I would give my dad what he really wants on Father's Day, but I can't afford to move out yet.",74.78,171,"Father's Day, kids"
3,"Yo're so ugly, when your mom dropped you off at school she got a fine for littering.",74.77,1585,"insults, school, ugly"
4,I bought a vacuum cleaner six months ago and so far all it's been doing is gathering dust.,74.76,148,mistake
5,"I asked my wife if she ever fantasizes about me, she said yes - about me taking out the trash, mowing the lawn, and doing the dishes.",74.76,148,"marriage, men, women, work"
6,"Hospitality: making your guests feel like they're at home, even if you wish they were.",74.74,82,life
7,"If I had a star for every time you brightened my day, I'd have a galaxy in my hand.",74.73,269,"flirty, love"
8,My son asked me what it's like to be married so I told him to leave me alone and when he did I asked him why he was ignoring me.,74.61,307,"kids, marriage, sarcastic"
9,Your birth certificate is an apology letter from the condom factory.,74.60,1451,insults
0,Escalators don't break down... they just turn into stairs.,74.57,165,life
1,"Dear alcohol, We had a deal where you would make me funnier, smarter, and a better dancer... I saw the video... we need to talk.",74.55,267,alcohol
2,My job is secure. No one else wants it.,74.34,256,"sarcastic, work"
3,Funny how they say we need to talk when they really mean you need to listen.,74.33,46,attitude
4,"People used to laugh at me when I would say ""I want to be a comedian"", well nobody's laughing now.",74.33,46,"communication, life, sarcastic, work"
5,My life is an open book. But it's very poorly written and I die in the end.,74.28,51,"death, life, money"
6,I married Miss Right. I just didn't know her first name was Always.,74.26,145,"marriage, women"
7,"Music makes every day better, especially if you turn it up just loud enough to drown out all the people around you.",74.24,18,"people, rude"
8,Improve your memory by doing unforgettable things.,74.24,113,"attitude, life, motivational"
9,"I wasn't originally going to get a brain transplant, but then I changed my mind.",74.22,1793,puns
0,You must have been born on a highway because that's where most accidents happen.,74.22,738,insults
1,"One day you're the best thing since sliced bread. The next, you're toast.",74.20,122,"attitude, food, life"
2,Waking up this morning was an eye-opening experience.,74.18,149,"attitude, fighting"
3,Sometimes I wake up grumpy; other times I let her sleep.,74.15,24,
4,I'd tell you a chemistry joke but I know I wouldn't get a reaction.,74.13,1686,puns
5,What makes men chase women they have no intention of marrying? The same urge that makes dogs chase cars they have no intention of driving.,74.10,126,"animal, men"
6,TRUE FRIENDSHIP: Walking into a persons house and your wifi connects automatically.,74.08,175,"friendship, life"
7,There are few things I enjoy more than picking an argument with my girlfriend when she has the hiccups.,74.05,166,"attitude, friendship, success"
8,What do you do if a blonde throws a grenade at you? Pull the pin and throw it back. ,74.04,253,blonde
9,Isn't it weird how when a cop drives by you feel paranoid instead of protected.,74.04,372,"car, life, motorcycle"
0,"I didn't say it was your fault, I said I was blaming you.",74.03,157,sarcastic
1,I can't believe I got fired from the calendar factory. All I did was take a day off.,74.03,3891,"puns, work"
2,How did I escape Iraq? Iran.,73.96,4228,puns
3,Why was Cinderella thrown off the basketball team? She ran away from the ball.,73.91,1871,puns
4,Women spend more time wondering what men are thinking than men spend thinking.,73.90,125,"attitude, men, women"
5,"Don't be irreplaceable - if you cannot be replaced, you cannot be promoted.",73.85,79,"life, motivational, work"
6,Nothing is fool proof to a sufficiently talented fool.,73.85,147,motivational
7,The only way you'll ever get laid is if you crawl up a chicken's ass and wait.,73.82,1255,"dirty, insults"
8,Adults are always asking little kids what they want to be when they grow up because they're looking for ideas.,73.80,120,kids
9,I like you. You remind me of when I was young and stupid. ,73.78,151,"rude, sarcastic"
0,"There is a new trend in our office; everyone is putting names on their food. I saw it today, while I was eating a sandwich named Kevin.",73.76,74,"life, work"
1,Never break someone's heart because they have only one inside...break their bones because they have 206 of them.,73.72,313,"love, sarcastic"
2,"A straight face and a sincere-sounding ""Huh?"" have gotten me out of more trouble than I can remember.",73.66,83,sarcastic
3,"Dear Couples Who Fight In Public, stop trying to whisper and would it kill you to include some backstory.",73.66,83,"attitude, stupid"
4,Friends wave red flags when you have a bad idea.  Real friends pick up a camera.,73.64,137,"attitude, friendship"
5,I like to finish other people's sentences because... my version is better.,73.61,29,attitude
6,"Best friends: Ready to die for each other, but will fight to the death over the last slice of pizza.",73.61,150,"fighting, life, sarcastic"
7,Keep the dream alive: Hit the snooze button.,73.58,110,"life, motivational"
8,Never tell your problems to anyone...20% don't care and the other 80% are glad you have them...,73.57,193,"attitude, life, people"
9,"Why is it everything I love is either unhealthy, addicting or has multiple restraining orders against me?",73.48,239,"attitude, life, love, sarcastic"
0,Your life doesn't get better by chance. It gets better by choice.,73.48,59,motivational
1,It's better to let someone think you are an Idiot than to open your mouth and prove it.,73.44,551,"insults, rude"
2,"Children in the back seats of cars cause accidents, but accidents in the back seats of cars cause children.",73.44,692,"car, kids, sex"
3,"My girlfriends dad asked me what I do. Apparently, ""your daughter"" wasn't the right answer.",73.44,1355,"life, sex"
4,"People say money is not the key to happiness, but I always figured if you had enough money, you can have a key made.",73.44,247,"happiness, money, people, sarcastic"
5,"A computer once beat me at chess, but it was no match for me at kick boxing.",73.43,73,IT
6,That awkward moment when you're in a meeting and your stomach decides to sound like a dying whale.,73.43,73,life
7,It is much easier to apologize than to ask permission. ,73.42,230,"life, marriage"
8,My doctor told me that jogging could add years to my life. He was right—I feel ten years older already.,73.42,127,"doctor, life, sarcastic"
9,I'm the kind of guy who stops the microwave at 1 second just to feel like a bomb defuser.,73.41,301,life
0,"Hard work never killed anyone, but why take the chance?",73.38,34,life
1,"Time waits for no man, time is obviously a woman.",73.35,109,"men, time, women"
2,Everyone has a friend who laughs funnier than he jokes.,73.34,157,"friendship, life"
3,People are making end of the world jokes. Like there is no tomorrow.,73.33,100,"attitude, people, sarcastic"
4,You know your children are growing up when they stop asking you where they came from and refuse to tell you where they're going.,73.30,122,kids
5,Wouldn't exercise be more fun if calories screamed while you burned them?,73.29,44,life
6,"I'm glad I know sign language, it's pretty handy.",73.27,1927,"life, puns"
7,I bet you I could stop gambling.,73.22,152,motivational
8,"For once in my life, I'd like to get up in the morning and be as excited about it as my penis.",73.20,169,"attitude, men"
9,"For every action, there is a corresponding over-reaction.",73.20,23,life
0,Accidentally pooped my pants in the elevator. I'm taking this shit to a whole new level.,73.17,211,stupid
1,Nothing ruins a Friday more than an understanding that today is Tuesday.,73.13,177,"attitude, life, work"
2,Where do they get the seeds to plant seedless watermelons?,73.10,181,life
3,The best things in life are free *plus shipping and handling*,73.09,121,"life, money, sarcastic"
4,"If I'd shot you sooner, I'd be out of jail by now.",73.08,227,"rude, sarcastic"
5,"I like birthdays, but I think too many can kill you.",73.06,543,birthday
6,Eat right. Stay fit. Die anyway.,73.03,112,life
7,"If at first you don't succeed, we have a lot in common.",72.98,103,"sarcastic, success"
8,"Sometimes the first step to forgiveness, is realising the other person was born an idiot.",72.94,324,"attitude, rude"
9,"Behind every successful student, there is a deactivated Facebook account.",72.90,85,"attitude, success"
0,"If you really want to know about mistakes, you should ask your parents.",72.90,776,"dirty, insults, kids, mistake"
1,My superpower is making people laugh. Which would be great if I was trying to be funny.,72.90,133,"attitude, sarcastic"
2,"I remember when Halloween was the scariest night of the year. Now, it's Election night.",72.81,179,"Halloween, political, sarcastic"
3,Never trust a dog to watch your food.,72.80,28,"animal, attitude"
4,Behind every great man is a woman rolling her eyes.,72.78,162,"men, women"
5,"Congratulations, If you press the elevator button three times it goes into hurry mode – really...",72.77,89,"life, sarcastic"
6,"I have never understood why women love cats. Cats are independent, they don't listen, they don't come in when you call, they like to stay out all night, and when they're home they like to be left alone and sleep. In other words, every quality that women hate in a man, they love in a cat.",72.75,145,"animal, hate, love, men, women"
7,"The reason grandchildren and grandparents get along so well is because they have a common ""enemy"".",72.74,71,"kids, retirement"
8,"Do you know what it means to come home to a man who'll give you a little love, a little affection, a little tenderness? It means you're in the wrong house.",72.74,71,"life, love, men"
9,If winning isn't everything why do they keep score?,72.67,33,"attitude, life"
0,The reward for a job well done is more work.,72.67,38,"life, work"
1,I wasn't born with enough middle fingers to let you know how I feel about you.,72.67,835,"dirty, insults"
2,"If laughter is the best medicine, your face must be curing the world.",72.65,432,insults
3,"Children seldom misquote you. In fact, they usually repeat word for word what you shouldn't have said.",72.64,57,kids
4,"The depressing thing about tennis is that no matter how good I get, I'll never be as good as a wall.",72.57,75,"life, sport"
5,If time is money are ATM's time machines?,72.57,75,"money, time"
6,"According to most studies, people's number one fear is public speaking. Number two is death. Death is number two. Does that sound right? This means to the average person, if you go to a funeral, you're better off in the casket than doing the eulogy.",72.56,202,"death, life, people"
7,Why is there so much blood in my alcohol system?,72.47,362,"alcohol, sarcastic"
8,I'm jealous of all the people that haven't met you!,72.47,358,insults
9,"I don't think you act stupid, I'm sure it's the real thing.",72.47,246,rude
0,"You're so fake, Barbie is jealous.",72.46,350,"insults, women"
1,Now what's on the menu? Me-n-u,72.46,342,"flirty, food"
2,Women might be able to fake orgasms. But men can fake a whole relationship.,72.41,377,"men, women"
3,I need to start paying closer attention to stuff. Found out today my wife and I have separate names for the cat.,72.40,213,"animal, attitude, marriage"
4,Friends are forever. Until they get in a relationship.,72.38,70,"life, love"
5,The lesson of Halloween is that pretending to be something you're not will lead to a sweet reward.,72.36,180,"attitude, Halloween, sarcastic"
6,Why did the blond get fired from the banana plantation? Because she threw out all the bent ones.,72.34,184,blonde
7,"People who write ""u"" instead of ""you"". What do you do with all the time you save?",72.34,109,"sarcastic, time"
8,My girlfriend told me to go out and get something that makes her look sexy... so I got drunk.,72.33,698,"alcohol, men, sarcastic, sex, women"
9,Did you hear about the guy who got hit in the head with a can of soda? He was lucky it was a soft drink.,72.32,954,puns
0,"Don't you love nature, despite what it did to you?",72.28,469,insults
1,Women should not have children after 35. Really ... 35 children are enough.,72.28,113,"kids, women"
2,Whoever said nothing is impossible is a liar. I've been doing nothing for years.,72.23,117,"attitude, life, motivational"
3,Depression is merely anger without enthusiasm.,72.19,87,"attitude, sarcastic"
4,"Some people say ""If you can't beat them, join them"". I say ""If you can't beat them, beat them"", because they will be expecting you to join them, so you will have the element of surprise.",72.16,203,"motivational, people"
5,I was born to be a pessimist. My blood type is B Negative.,72.16,42,life
6,I'm reading a book about anti-gravity. It's impossible to put down.,72.07,1549,puns
7,The hardness of butter is directly proportional to the softness of the bread.,72.02,37,life
8,Don't let a man put anything over on you except an umbrella.,72.02,37,"love, men"
9,Being a hypochondriac is going to save my life one of these days,72.02,69,"life, sarcastic, success"
0,Doesn't expecting the unexpected make the unexpected become the expected?,71.99,82,life
1,Feeling stressed out? Make a nice cup of hot tea and then spill it in the lap of whoever's bugging you.,71.93,32,"attitude, rude, work"
2,A clean house is a sign of a misspent life.,71.93,32,"attitude, life"
3,Hell is wallpapered with all your deleted selfies.,71.93,32,"insults, IT"
4,Statistically 6 out of 7 Dwarfs are not Happy.,71.93,32,life
5,My wife and I always compromise. I admit I'm wrong and she agrees with me.,71.89,86,marriage
6,What language are you speaking? Cause it sounds like bullshit.,71.87,412,insults
7,I wasn't planning on giving Christmas gifts this year until I heard about those exploding Samsung Galaxy phones.,71.78,46,"Christmas, death, sarcastic"
8,It looks like your face caught on fire and someone tried to put it out with a hammer.,71.76,418,insults
9,Anyone who has never made a mistake has never tried anything new.,71.69,127,"mistake, motivational"
0,I'm emotionally constipated. I haven't given a shit in days.,71.67,3423,"dirty, puns"
1,I work to buy a car to go to work.,71.60,175,"car, work"
2,An optimist believes that we live in the best world. A pessimist is afraid that it might be true.,71.52,89,"attitude, life, motivational"
3,"Before having a kid the most important thing to ask yourself is ""Am I ready to watch the exact same cartoon on repeat for the next 4 years?""",71.48,126,"attitude, kids"
4,You do realize makeup isn't going to fix your stupidity?,71.47,190,"insults, stupid"
5,"Refusing to go to the gym counts as resistance training, right?",71.47,190,"attitude, sarcastic, sport"
6,"You may fall from the sky, you may fall from a tree, but the best way to fall... is in love with me.",71.47,425,"flirty, love"
7,"Doing things that you are not supposed to do at work makes your vision, hearing and alertness much better.",71.47,93,"life, work"
8,Makeup tip: You're not in the circus.,71.47,93,"beauty, women"
9,Everywhere is walking distance if you have the time.,71.38,63,attitude
0,How do you embarrass an archeologist? Give him a used tampon and ask him which period it came from.,71.34,472,"dirty, rude"
1,"If someone hates you for no reason, give that motherfucker a reason.",71.34,263,"attitude, hate"
2,Do not argue with an idiot. He will drag you down to his level and beat you with experience.,71.34,36,life
3,Why does it feel like time slows down during the day when you're at work and rapidly speeds up at night when you get home?,71.34,36,life
4,Any salad can be a Caesar salad if you stab it enough.,71.29,117,"food, health"
5,"I always tell new hires, don't think of me as your boss, think of me as your friend who can fire you.",71.28,121,"friendship, sarcastic, work"
6,My mother never saw the irony in calling me a son-of-a-bitch.,71.24,515,dirty
7,"Failure is not falling down, it is not getting up again.",71.22,45,motivational
8,"Hey, you have something on your chin... no, the 3rd one down.",71.21,319,insults
9,"Roses are red violets are blue, God made me pretty, what happened to you?",71.19,872,"dirty, God, insults"
0,Turning vegan is a big missed steak.,71.18,92,"attitude, food, mistake"
1,"A friend of mine tried to annoy me with bird puns, but I soon realized that toucan play at that game.",71.15,606,"animal, puns"
2,"When I get naked in the bathroom, the shower usually gets turned on.",71.13,2127,puns
3,Turtles think frogs are homeless.,71.09,21,animal
4,"What's six inches long, two inches wide, and drives women wild? Money.",71.07,195,"money, women"
5,You're slower than a herd of turtles stampeding through peanut butter. ,71.06,140,"animal, sarcastic"
6,You're the reason the gene pool needs a lifeguard.,71.02,260,"attitude, dirty, insults"
7,Life isn't about winning and losing. It's about wishing you would have won and wondering why you lost.,71.02,26,life
8,It's not a relationship until you argue about whose turn it is to apologize.,70.96,49,love
9,"I refused to believe my road worker father was stealing from his job, but when I got home, all the signs were there.",70.93,40,"family, work"
0,What can strike a blonde without her even knowing it? A thought.,70.92,87,blonde
1,You're like school in the summertime - no class.,70.91,190,"insults, rude, school"
2,You so ugly when who were born the doctor threw you out the window and the window threw you back.,70.91,787,"doctor, insults, ugly"
3,Hit snooze until the panic sets in.,70.85,66,attitude
4,What do you call a smart blonde? A golden retriever.,70.85,205,blonde
5,"When I die, I hope I have enough time to point at a complete stranger and whisper ""You did this.""",70.85,508,"attitude, dirty, life, time"
6,"I'm sorry I wasn't part of your past, can I make it up by being in your future?",70.83,224,"flirty, life, love"
7,"God gave us the brain to work out problems. However, we use it to create more problems.",70.83,107,"attitude, God, life, motivational"
8,"Remember, everyone seems normal until you get to know them...",70.82,119,"attitude, people"
9,You are proof that evolution CAN go in reverse.,70.81,577,insults
0,"Autocorrect just changed ""I have so much anxiety I can barely breathe"" to ""I'm fine.""",70.77,70,"attitude, IT"
1,"So, a thought crossed your mind? Must have been a long and lonely journey.",70.77,284,insults
2,"There's only one problem with your face, I can see it.",70.76,466,insults
3,"Keep talking, someday you'll say something intelligent!",70.72,306,"insults, intelligence, stupid"
4,If 4 out of 5 people SUFFER from diarrhea ... does that mean that one enjoys it?,70.63,44,"life, people"
5,I think it's wrong that only one company makes the game Monopoly.,70.62,35,money
6,"My first job was working in an orange juice factory, but I got canned: couldn't concentrate.",70.58,1100,puns
7,"I bet you $4,567.89 you can't guess how much I owe my bookie.",70.58,157,"money, sarcastic"
8,"We are born naked, wet and hungry. Then things get worse.",70.57,94,"attitude, life"
9,"Thieves had broken into my house and stolen everything except my soap, shower gel, towels and deodorant. Dirty Bastards.",70.54,2020,"life, puns"
0,"I am known at the gym as the ""before picture.""",70.53,61,"attitude, sport"
1,"I asked my North Korean friend how it was there, he said he couldn't complain.",70.53,61,"attitude, communication, life, political, sarcastic"
2,We never knew he was a drunk... until he showed up to work sober.,70.47,187,"alcohol, life, work"
3,"I saw a sign that said ""Watch for children"" and I thought, ""That sounds like a fair trade"".",70.45,65,"kids, money"
4,"Yesterday, I fell down from a 10 meter ladder. Thank God I was on the third step.",70.42,129,sarcastic
5,Which sexual position produces the ugliest children? Ask your mother.,70.40,471,"insults, rude, ugly"
6,I think that if I died and went straight to hell it would take me at least a week to realize I wasn't at work anymore.,70.39,69,"attitude, life, work"
7,I'm glad to see you're not letting your education get in the way of your ignorance.,70.36,328,"insults, stupid"
8,"Aha, I see the Fuck-Up Fairy has visited us again! ",70.34,276,insults
9,"Before I tell my wife something important, I take both her hands in mine. That way she can't hit me with them.",70.32,30,"attitude, communication, marriage"
0,Some of us learn from the mistakes of others; the rest of us have to be the others.,70.28,85,"attitude, life, mistake"
1,I don't have an attitude; I have a personality you can't handle.,70.27,52,attitude
2,"What was Forrest Gump's email password? ""1forrest1""",70.27,1520,"IT, life, puns"
3,"""Excuse me miss, can I have the time? I'd check my watch but I can't take my eyes off you.""
",70.26,279,"flirty, love, women"
4,Success is like pregnancy. Everybody congratulates you but nobody knows how many times you got fucked to achieve it.,70.20,189,"life, motivational, success"
5,Any room is a panic room if you've lost your phone in it.,70.17,124,"IT, sarcastic"
6,"As an outsider, what do you think of the human race?",70.16,215,insults
7,"What do the Mafia and a pussy have in common? One slip of the tongue, and you're in deep shit.",70.12,307,dirty
8,"If I had a face like yours, I'd sue my parents.",70.12,358,insults
9,ISIS is taking back territory after a surprise turn of events. Their new partnership with Samsung is quickly paying off,70.08,9,"death, IT"
0,I would ask you how old you are but I know you can't count that high.,70.05,229,insults
1,The trouble with doing something right the first time is that nobody appreciates how difficult it was.,70.04,25,"life, time"
2,We are all time travelers moving at the speed of exactly 60 minutes per hour.,70.03,43,"life, time, travel"
3,"I was going to look for my missing watch, but I could never find the time.",69.95,80,"attitude, intelligence, stupid"
4,What's the difference between a paycheck and a penis? You don't have to beg your wife to blow your paycheck.,69.91,359,"marriage, money, sex"
5,"The 50-50-90 rule: Anytime you have a 50-50 chance of getting something right, there's a 90% probability you'll get it wrong.",69.87,34,"attitude, life"
6,"What dog can jump higher than a building? Anydog, buildings can't jump!",69.87,34,animal
7,"Three words to ruin a man's ego...? ""Is it in?""
",69.86,473,"dirty, men, sex"
8,"Remember, it's not what you do... it's what you get away with.",69.86,47,"attitude, work"
9,I love what you've done with your hair. How do you get it to come out of the nostrils like that?,69.85,315,"insults, sarcastic"
0,"Ever stop to think, and forget to start again?",69.81,107,"attitude, intelligence, life"
