,ID,text,type,tags,rating,num_ratings,link
21,21,"Clem pulled over the car by the side of the road and showed Jed where he'd first had sex. ""It was right down there by that tree. I remember the day plainly. It was a warm summer day. She and I were so much in love. We walked down to the tree and made love for hours,"" Clem recalled. ""That sounds wonderful,"" said Jed. ""Yes. It was okay until I looked up and noticed her mother was standing right there watching us."" ""Oh my God! What did her mother say when she saw you making love to her daughter?"" ""Baaaaa..."" ",Animal,,,,http://jokes.cc.com/funny-animal/4nxcme/ba-ba-black-sheep
22,22,Q; What do you call two fleas on top of a bald head?   A: Homeless.  ,Animal,,,,http://jokes.cc.com/funny-animal/fo7ros/bald-fleas
23,23,Q: Why did the chicken cross the basketball court? A: He heard the ref was blowing fowls. ,Animal,,,,http://jokes.cc.com/funny-animal/3s09fc/basketball-chicken
24,24,Q: What do you get when you cross a bear with a deer?   A: Beer. ,Animal,,,,http://jokes.cc.com/funny-animal/wh2bzm/bear---deer
25,25,Q: What do you get if you cross a bear with a toilet? A: Winnie the Pooh.  ,Animal,,,,http://jokes.cc.com/funny-animal/tzohle/bear---toilet
26,26,"A bear jumps out of a bush and starts chasing two hikes. They both start running for their lives, but then one of them stops to put on his running shoes. His friends says, ""What are you doing? You can't outrun a bear!"" His friend replies, ""I don't have to outrun the bear; I only have to outrun you!""  ",Animal,,,,http://jokes.cc.com/funny-animal/fwko9c/bear-on-a-rampage
27,27,Q: Where does a bee pee? A: At the BP station. ,Animal,,,,http://jokes.cc.com/funny-animal/4xbkjb/bee-pee
28,28,"Q: What's the difference between beer nuts and deer nuts? A: Beer nuts are $1.39, and deer nuts are under a buck.  ",Animal,,,,http://jokes.cc.com/funny-animal/9q0bdx/beer-nuts-vs--deer-nuts
29,29,"Q: Why did Beethoven kill his chicken?   A: It kept saying, ""Bach, Bach, Bach."" ",Animal,,,,http://jokes.cc.com/funny-animal/cdv473/beethoven-s-chicken
30,30,Q: Why do farmers put bells on cows? A: Their horns don't work.  ,Animal,,,,http://jokes.cc.com/funny-animal/39t17p/bells-on-cows
31,31,"Two goldfish were in their tank. One turned to the other and said, ""You man the guns; I'll drive."" ",Animal,,,,http://jokes.cc.com/funny-animal/0lkw1r/best-goldfish-joke-ever
32,32,Q: Why do gorillas have big noses? A: Because they have big fingers.  ,Animal,,,,http://jokes.cc.com/funny-animal/eukxby/big-noses
33,33,"I don't eat food that a dog won't touch. That's my guideline. Try to give tofu to a dog. He goes, 'I don't think so. No.' It's a dog. It licks between its legs and sniffs fire hydrants. If he doesn't like something, I go with that opinion. He's drinking out of the toilet. Find out what he thinks. ",Animal,,,,http://jokes.cc.com/funny-animal/40u5mv/bill-coronel--dog-food-guideline
34,34,The petting zoo's a great place to go if you want to discard your child's clothing in a goat's stomach. ,Animal,,,,http://jokes.cc.com/funny-animal/xtnzyp/bill-dwyer--petting-zoo
35,35,We have kids because we didn't want pets. ,Animal,,,,http://jokes.cc.com/funny-animal/ulf7ir/bill-dwyer--why-kids-
36,36,"The stupidest thing I noticed was a couple of weeks ago. I went to Sea World. Now, if you ever go to Sea World, take a minute to notice that they sell fish sandwiches at Sea World. What insensitive guy came up with this? It's like, if you're not doing a very good job as a fish, you can just get your little fish butt over to the restaurant. ",Animal,,,,http://jokes.cc.com/funny-animal/b32lql/bill-kirchenbauer--sea-world-seafood
37,37,Did you hear about the man who did it with a parakeet? He contracted chirpes. And the worst thing? It was untweetable. ,Animal,,,,http://jokes.cc.com/funny-animal/db97yo/bird-it-through-the-grapevine
38,38,"Q: If the dove is the bird of peace, what is the bird of true love? A: The swallow.  ",Animal,,,,http://jokes.cc.com/funny-animal/niv4g7/bird-of-peace--bird-of-love
39,39,"Birdie, birdie, in the sky
 Dropped some white stuff in my eye,
 I'm a big girl, I won't cry,
 I'm just  glad that cows don't fly. ",Animal,,,,http://jokes.cc.com/funny-animal/fk45wf/birdie-poem
40,40,"Little girl: ""Why does your son  say, 'Cluck, cluck, cluck?'"" Mother: ""Because he thinks he's a chicken."" Little girl: ""Why don't you tell him he's not a chicken?"" Mother: ""We need the eggs.""  ",Animal,,,,http://jokes.cc.com/funny-animal/4w74i3/birdman
41,41,"Yo' mama so fat, when she was a baby, she took a bath with a rubber albatross. ",Animal,,,,http://jokes.cc.com/funny-animal/vpl0xy/birds-of-paradise
42,42,Q: What's black and white and red all over? A: An embarassed zebra! ,Animal,,,,http://jokes.cc.com/funny-animal/gar04j/black---white---red
43,43,"Q: What's black and brown and looks good on a lawyer?
 
 A: A Doberman pinscher. ",Animal,,,,http://jokes.cc.com/funny-animal/jrc9k9/black-and-brown
44,44,"A blind bunny and a blind snake bump into each other on the path.
 
 ""What kind of animal are you?"" asks the snake.
 
 ""I really don't know,"" says the bunny. ""I've never seen myself. Maybe you could examine me and find out?""
 
 So, the snake felt the bunny. ""Well, you're soft and cuddly,"" said the snake. ""You have long silky ears and a little fluffy tail. You must be a bunny!""
 
 ""Awesome!"" says the bunny. ""Now what kind of animal are you?""
 
 ""I really don't know,"" says the snake. ""I've never seen myself. Maybe you could examine me and find out?""
 
 So, the bunny feels the snake all over, and he replies, ""You're hard and cold, and you haven't got any balls. You must be a lawyer!"" ",Animal,,,,http://jokes.cc.com/funny-animal/491gq8/blind-bunny-meets-blind-snake
45,45,Q: What do you call a blind dinosaur? A: Do-you-think-he-saur-us. ,Animal,,,,http://jokes.cc.com/funny-animal/6d31dd/blind-dinosaur
46,46,Q: Why don't blind people skydive? A: It scares the crap out of their seeing-eye dogs.  ,Animal,,,,http://jokes.cc.com/funny-animal/tidjgn/blind-skydivers
47,47,Q: Why does a blond dog have lumps on his head? A: He's been chasing parked cars. ,Animal,,,,http://jokes.cc.com/funny-animal/dizbgb/blond-dog
48,48,"A blonde bought some goldfish, but she did not know how to feed them. She called her brunette friend for help. Once they were done feeding them, the blonde said, ''Now, what do I give them to drink?'' ",Animal,,,,http://jokes.cc.com/funny-animal/9jgh0s/blonde---goldfish
49,49,"Once there was a blonde driving home from work when she saw a sheep farm. She stops and asks the farmer if she can have a sheep. The farmer says ""If you can count all my sheep I'll let you have any one you want."" The blonde looks around her for a moment and says, ""You have 356 sheep."" The farmer exclaims, ""Wow -- you're exactly right. I guess blondes really aren't dumb. Now go pick yourself out a sheep."" The blonde makes her choice, picks it up, comes back to the farmer to thank him. ""Oh no,"" he says, ""you can't have that one."" ""Why not?"" asks the blonde, ""you said I could have any sheep I wanted."" And the farmer says, ""Ma'am, that's my dog."" ",Animal,,,,http://jokes.cc.com/funny-animal/xafiuz/blonde-counting-sheep
50,50,"Tired of constant blonde jokes, a blonde dyes her hair brown. She goes for a drive in the country and sees a shepherd herding his sheep across the road. ""Hey, shepherd, if I guess how many sheep are here, can I keep one?"" she asks.  The shepherd agrees. She blurts out, ""352!"" The shepherd is stunned but keeps his word and allows her to pick a sheep. ""I'll take this one,"" she says proudly. ""It's the cutest!"" ""Hey lady,"" says the shepherd. ""If I guess your real hair color, can I have my dog back?""  ",Animal,,,,http://jokes.cc.com/funny-animal/49ec5m/blonde-in-disguise
51,51,"NASA sends a space shuttle up with two pigs and a blonde on board. While the shuttle is taking off, the NASA command center calls the first pig and asks, ""Pig  #1, do you know your mission?"" The pig replies, ""Oink oink. Get the shuttle into orbit and launch the trillion dollar satellite. Oink oink."" Then NASA asks the second pig, ""Pig #2, do you know your mission?"" The second pig replies, ""Oink oink.  Once Pig #1 has completed the trillion dollar satellite launch, close hatch and go back to Earth.  Land shuttle. Oink oink."" Then NASA asks the blonde, ""Blonde woman, do you know your mission?"" The blonde woman replies, ""Um. Oh yeah, I remember now. 'Feed the pigs -- and don't touch a thing!'""  ",Animal,,,,http://jokes.cc.com/funny-animal/uf7gec/blonde-nasa-engineer
52,52,"An old lady meets a little girl in the park with her dog. She asks, ""What's your name, little girl?"" ""Blossom,"" answers the girl. ""Oh, that's a beautiful name. How did you get it?"" The little girl explained, ""Well, my mommy was pregnant, and a blossom fell out of a tree and landed right on her tummy, so she named me Blossom."" ""Oh, that's so nice, replied the old lady. ""What's your dog's name?"" ""Porky,"" the little girl answered. ""Why Porky?"" the old lady asked.  The little girl answered, ""Because he f**ks pigs.""  ",Animal,,,,http://jokes.cc.com/funny-animal/0z9l6v/blossom---porky
53,53,"I thought I'd like this thing because I like meat. Three days into it, I had eaten so much meat, I was perusing the neighborhood at four in the morning looking for cats and stuff. My heart was beating a million miles a minute. I've got bacon fat dripping off my eyelashes. People are like, 'Hey, you look pretty good. Did you lose some weight?' 'Get over here. I'll eat your face right off your head.' ",Animal,,,,http://jokes.cc.com/funny-animal/ul7ljw/bob-marley--atkins-diet
54,54,Put strobe headlights in my car to make the deer run slower. ,Animal,,,,http://jokes.cc.com/funny-animal/8epmy5/bob-nickman--strobe-headlines
55,55,Q; What do cows do for fun?  A: They go to the moo-vies! ,Animal,,,,http://jokes.cc.com/funny-animal/r5wbqo/bovine-hijinx
56,56,"A tourist on a farm asked the farmer why one pig had a wooden leg.
 
 The farmer said, ""That pig is the bravest pig I ever saw.""
 
 ""So why does he have a wooden leg?"" the tourist asked.
 
 ""One night, our house caught on fire, and he came inside and woke us all up.""
 
 The tourist asked again, ""So, why does that pig have a wooden leg?""
 
 ""You can't eat a pig that brave all at once!"" ",Animal,,,,http://jokes.cc.com/funny-animal/vh08x6/brave-pig-with-the-peg-leg
57,57,"I went hunting for the first time. I shot an elk. I felt really bad at first, but the guy was wearing a plaid leisure suit. ",Animal,,,,http://jokes.cc.com/funny-animal/8nakdu/brian-kiley--shot-an-elk
58,58,"Q: What did the bird say after his cage fell apart? A: ""Cheap, cheap!"" ",Animal,,,,http://jokes.cc.com/funny-animal/pzni78/broken-cage
59,59,"You guys familiar with Elliot's Peripheral Extrapolation Theorem? That's the one that states that depending on the size of an enclosure, i.e. an aquarium or terrarium, that the animal, i.e. fish or lizard, that you put in that area will grow depending on the size and the room it has to grow in. And based on that, I've been wearing some very large underwear. ",Animal,,,,http://jokes.cc.com/funny-animal/cyhxrh/bruce-baum--elliot-s-peripheral-extrapolation-theorem
60,60,"Q: What is the last thing to go through a bug's mind when it hits your windshield?    
 
 A: Its ass. ",Animal,,,,http://jokes.cc.com/funny-animal/ec6a0k/bug-s-mind
61,61,"Q: What do you call a redneck with a pig under one arm and a sheep under the other?
 
 A: Bisexual. ",Animal,,,,http://jokes.cc.com/funny-animal/i3kbmo/busy-redneck
62,62,"A boy asks his mother for breakfast. She says, ""Not until you feed the animals.""
 
 The boy goes outside and says to the chicken, ""I don't feel like feeding you today."" So he kicks the chicken. He does the same with the cow and the pig.
 
  The boy goes back into the house and tells his mother that he's hungry. His mother says, ""I saw you kick the chicken, so you're not getting any eggs, I saw you kick the cow, so you're not getting any milk, and I saw kick the pig, so you're not getting any bacon.""
 
 Just then the boy's father walks down the steps, trips and kicks the cat. The boy says, ""Mom, should I tell him?"" ",Animal,,,,http://jokes.cc.com/funny-animal/ht1j4l/careful-what-you-kick
63,63,Q: How do you know that carrots are good for your eyesight?  A: Have you ever seen a rabbit with glasses?  ,Animal,,,,http://jokes.cc.com/funny-animal/qiyfsk/carrots
64,64,"Lions sleep 85% of their day, have sex up to 55 times a day. That's what we should be shooting for. I would love to get that much sleep. ",Animal,,,,http://jokes.cc.com/funny-animal/p5amcp/cash-levy--lions
65,65,"When my last girlfriend wanted to get a little serious, I had to use the old wild stallion technique to get her back in. I said, 'Baby, I'm like a wild stallion. You try to put a saddle on a wild stallion, he'll run and he'll run and run some more. But if you let a wild stallion run free, hey may come back to the barn.' Yeah, she didn't buy it either. ",Animal,,,,http://jokes.cc.com/funny-animal/gtoc5n/cash-levy--wild-stallion
66,66,Q: Why did the cat go to the hospital? A: To have a  CAT scan done.  ,Animal,,,,http://jokes.cc.com/funny-animal/ecuttq/cat-hospital
67,67,"Q: How do you catch a polar bear? A: You make a hole in the ice and line it with peas.  When the bear goes in to take a pea, you kick him in the ice hole. ",Animal,,,,http://jokes.cc.com/funny-animal/iquijo/catching-a-polar-bear
68,68,Q: How do you catch a squirrel? A: Climb up a tree and act like a nut.  ,Animal,,,,http://jokes.cc.com/funny-animal/d0jjh8/catching-a-squirrel
69,69,Q: How do you catch a unique rabbit?  A: Unique up on it.  Q: How do you catch a tame rabbit?  A: Tame way.  ,Animal,,,,http://jokes.cc.com/funny-animal/y7addq/catching-rabbits
70,70,"Q: What's the difference between a catfish and a lawyer?
 
 A: One's a slimy scum-sucking bottom-dwelling scavenger; the other is a fish. ",Animal,,,,http://jokes.cc.com/funny-animal/98ttqr/catfish-and-lawyers
71,71,"An old lady buys a pair of parrots, but she cannot identify their sexes. She spends weeks staring at their cage and eventually, she catches them doing what comes naturally. To make sure she doesn't get them mixed up again, she puts a little white collar around the male parrot's neck. Later, the local priest visits the old lady. The male parrot takes one look at the father's collar and says, ""I see she caught you at it, too.""  ",Animal,,,,http://jokes.cc.com/funny-animal/n0pqej/caught-and-tagged
72,72,Q: What do you get when you cross a centipide with a parrot?      A: A walkie-talkie.  ,Animal,,,,http://jokes.cc.com/funny-animal/p68y0o/centipede---parrot
73,73,Q: How do you stop an elephant from charging? A: Take away his credit card.  ,Animal,,,,http://jokes.cc.com/funny-animal/n8faz8/charging-elephant
74,74,"I have a dog, you know? And I couldn't even figure out what to name him, so I named him Bill Clinton. That way I could just blame him for stuff, you know? 'Who knocked over the garbage?' 'Bill Clinton.' 'Who chewed up my work?' 'Oh, Bill Clinton.' 'Who soiled this perfectly good dress?' 'Bill Clinton.' ",Animal,,,,http://jokes.cc.com/funny-animal/u8xblu/charles-van-deventer--my-dog--bill-clinton
75,75,"Q: Why did the chicken say, ""Meow, oink, bow-wow, moo?"" A: He was studying foreign languages.  ",Animal,,,,http://jokes.cc.com/funny-animal/bpc8ma/chicken-chat
76,76,Q: Why don't chickens wear underwear? A: Because their peckers are on their faces!  ,Animal,,,,http://jokes.cc.com/funny-animal/5mtekb/chicken-don-t-wear-underwear
77,77,"Q: What do you call a chicken who crosses the road, rolls in dirt and comes back?  A: A dirty double-crosser.  ",Animal,,,,http://jokes.cc.com/funny-animal/2udidu/chicken-in-the-dirt
78,78,Q: Why did the chicken stop in the middle of the road?    A: It wanted to lay it on the line.  ,Animal,,,,http://jokes.cc.com/funny-animal/sj3yq1/chicken-in-the-road
79,79,Q: Why did the chicken run onto the football field? A: Because the umpire called a foul. ,Animal,,,,http://jokes.cc.com/funny-animal/lm597n/chicken-on-the-field
80,80,"Q: Why didn't Smokey the Bear have cubs? A: Every time his wife got hot, he stomped her out.  ",Animal,,,,http://jokes.cc.com/funny-animal/w2hd1l/childless-smokey-the-bear
81,81,"An old farmer went to town to see a movie. The ticket agent asked, ""Sir, what's that on your shoulder?"" The old farmer said, ""That's my pet rooster Chucky, wherever I go, Chucky goes."" ""I'm sorry sir."", said the ticket agent, ""We don't allow animals in the theater."" The old farmer went around the corner and stuffed the bird down his pants. He returned to the booth, bought a ticket and entered the theater. He sat down next to two old widows named Mildred and Marge. The movie started and the rooster began to squirm. The old farmer unzipped his pants so Chucky could stick his head out and watch the movie.
 ""Marge"", whispered Mildred. ""What"", said Marge. ""I think this guy next to me is a pervert."", said Mildred. ""What makes you think that"", asked Marge. ""He unzipped his pants and he has his thing out"", whispered Mildred. ""Well, don't worry about it"", said Marge, ""At our age we've seen them all."" ""I thought so"", said Mildred, ""But this one is eating my popcorn!"" ",Animal,,,,http://jokes.cc.com/funny-animal/2c9uof/chucky-at-the-movies
82,82,"I never talk to our cat, and our cat certainly never talks to me. So I don't know why my wife is compelled to put the cat on the phone when I call home, but I love my wife, so I will talk to the cat. ",Animal,,,,http://jokes.cc.com/funny-animal/lq8fw8/clinton-jackson--talk-to-the-cat
83,83,Can my dancing poodles watch? Honk honk! ,Animal,,,,http://jokes.cc.com/funny-animal/176dnt/clown-booty-call----poodles
84,84,Q: What is the clumsiest insect?   A: The bumbling bee.  ,Animal,,,,http://jokes.cc.com/funny-animal/fg1r3e/clumsy-insects
85,85,"A guy walks into a store and buys six jumbo boxes of condoms. The store clerk asks the man, ""What are you going to do with all of those?"" The guy replies, ""I taught my dog to swallow them, and now he s**ts in little plastic baggies!""  ",Animal,,,,http://jokes.cc.com/funny-animal/zgp980/condom-dog
86,86,Q: What do you call a cow who's had an abortion? A: De-calf-i-nated.  ,Animal,,,,http://jokes.cc.com/funny-animal/x3qgfl/cow-abortion
87,87,Q: What do cows read in the morning? A: The daily moos.  ,Animal,,,,http://jokes.cc.com/funny-animal/gn9i35/cow-fun
88,88,Q: What do you call a cow murder mystery? A: A moo-done-it.  ,Animal,,,,http://jokes.cc.com/funny-animal/pkexf0/cow-murder-mystery
89,89,"If a farmer was only able to choose between buying a cow or a tractor, what should he pick. On one hand, he would look funny riding on a cow.  On the other hand, he would look funnier trying to milk a tractor. ",Animal,,,,http://jokes.cc.com/funny-animal/mw29xj/cow-or-tractor
90,90,"An old cowhand came riding into town on a hot, dry, dusty day. The local sheriff watched from his chair in front of the saloon as the cowboy wearily dismounted and tied his horse to the rail. The cowboy then moved slowly to the back of his horse, lifted its tail, and placed a big kiss where the sun don't shine. He dropped the horse's tail, stepped up on the walk and aimed toward the swinging doors of the saloon. ""Hold on there, Mister,"" said the sheriff. ""Did I just see what I think I saw?"" ""Reckon you did, Sheriff. I got me some powerful chapped lips."" ""And that cures them?"" the Sheriff asked. ""Nope, but it keeps me from lickin' 'em."" ",Animal,,,,http://jokes.cc.com/funny-animal/jx2sz8/cow-pat-lip-gloss
91,91,Q: What do you call a cow with a twitch? A: Beef jerky.  ,Animal,,,,http://jokes.cc.com/funny-animal/turj93/cow-reflexes
92,92,A black cow was standing in the middle of the road. A man was hauling ass around a corner with no headlights on. He slams on the brakes at just the right time to miss the cow. How did the guy see the cow?   It was daytime.  ,Animal,,,,http://jokes.cc.com/funny-animal/l808c1/cow-riddle
93,93,Q: What's the difference between a cow's tail and a man's tie? A: The cow's tail hides the entire a**hole.  ,Animal,,,,http://jokes.cc.com/funny-animal/vx0gne/cow-s-tail-vs--tie
94,94,"A cowboy passes by a ranch and strikes up a conversation with the rancher sitting by the gate.
 
 The cowboy asks the rancher, ""Mind if I talk to your dog over there?""
 
 ""Damn fool, don't you know dogs can't talk?""
 
 The cowboy replies, ""So what's the harm?""
 
 The rancher shrugs, ""Go right ahead.""
 
 The cowboy ambles up to the dog and says, ""Howdy!"" The dog replies, ""Hello.""
 
 The rancher's eyes pop wide open.
 
 The cowboy continues, ""Does your master here treat you alright?""
 
 ""Sure does. He feeds me, lets me sleep inside, and every day he takes me to the lake.""
 
 The cowboy asks the shocked rancher, ""Mind if I talk to your horse over there?""
 
 The rancher replies, ""Now, I don't know what you're up to, but I know for a fact that horses can't talk.""
 
 ""Well then, what's the harm?""
 
 ""Go right ahead,"" says the rancher.
 
 The cowboy says to the horse, ""Hello."" The horse replies, ""Hello.""
 
 The rancher's jaw drops.
 
 The cowboy asks, ""Your owner here treat you OK?""
 
 ""Sure,"" replies the horse, tossing his mane. ""He rides me every day, brushes me down, feeds me good, and he keeps me in the barn out of the bad weather.""
 
 The cowboy looks satisfied and turns to the rancher, ""Are those your sheep over there?""
 
 The rancher looks alarmed and stammers, ""Listen -- them sheep out there, they're -- they're nothing but a bunch of liars!"" ",Animal,,,,http://jokes.cc.com/funny-animal/546e6e/cowboy-talks-to-the-animals
95,95,Q: How do crabs leave the hospital? A: On crutches.  ,Animal,,,,http://jokes.cc.com/funny-animal/0e4nza/crazy-little-critters
96,96,"Q: If you had one cricket ball in one hand and another cricket ball in your other hand, what would you have? A: A bloody big cricket.  ",Animal,,,,http://jokes.cc.com/funny-animal/s7abgn/cricket
97,97,"Why did the chicken cross the road? To get to the other side.
 
 Why did she go to the other side? To go to the bar.
 
 Why did she go to the bar? To go to the toilet.
 
 Why did she go to the toilet? Because that's where all the cocks hang out. ",Animal,,,,http://jokes.cc.com/funny-animal/o8416m/cross-the-road----chicken-keeps-going
98,98,"Q: Why did the fat turkey cross the road?
 
 A: To get hit by my car. ",Animal,,,,http://jokes.cc.com/funny-animal/d6z5mc/cross-the-road----fat-turkey
99,99,"Q: Why did the forgetful chicken cross the road?
 
 A: To get to the other side -- er, no -- to go shopping -- no, not that either -- damn it. ",Animal,,,,http://jokes.cc.com/funny-animal/regis8/cross-the-road----forgetful-chicken
100,100,"Q: Why did the calf cross the road?
 
 A: To get to the udder side. ",Animal,,,,http://jokes.cc.com/funny-animal/a5hszl/cross-the-road----little-cow
101,101,"Q: Why did the monkey cross the road?
 
 A: So he could get spanked. ",Animal,,,,http://jokes.cc.com/funny-animal/mr59zh/cross-the-road----monkey
102,102,"Q: Why do baby chicks say, ""Cheep, cheep, cheep""?   A: They can't say, ""Expensive, expensive, expensive.""  ",Animal,,,,http://jokes.cc.com/funny-animal/2n1wd9/cutest-baby-chicks-ever
103,103,You want to understand white folk? Just act white sometimes. I get up in the morning and kiss my dog on the mouth. ,Animal,,,,http://jokes.cc.com/funny-animal/mfww6l/d-c--curry--understanding-white-folks
104,104,"I was gonna join this fraternity, but they make you do crazy stunts, so I had to swallow five live goldfish to join -- and I tried. I swallowed two, and I felt so guilty that I swallowed a pound of pebbles and a little filter and a little man in a scuba suit. ",Animal,,,,http://jokes.cc.com/funny-animal/qbz0by/dan-devido--fraternity-fish
105,105,Q: What's dangerous and swings from trees? A: A monkey with a chainsaw.  ,Animal,,,,http://jokes.cc.com/funny-animal/hv36iz/dangerous---swings
106,106,I recently got accused of ?screwing the pooch? -- which I think is my favorite idiom in the English language because I think it's a big leap from a minor mishap to bestiality. ,Animal,,,,http://jokes.cc.com/funny-animal/udx59n/daniel-kilpatrick--screwing-the-pooch
107,107,I got to go to a costume party next week. I'm going to dress up as a bear so I can eat beaver. ,Animal,,,,http://jokes.cc.com/funny-animal/dkyhyj/dave-waite--costume-party
108,108,"Dolphins are intelligent? If they're so intelligent, get out of the nets. ",Animal,,,,http://jokes.cc.com/funny-animal/vf42mb/david-feldman--dolphin-intelligence
109,109,"A reverend awoke one morning to find a dead donkey in his front yard. He had no idea how it got there, but he knew he had to get rid of it. He called the sanitation department, the health department and several other agencies, but no one seemed able to help him.  In desperation, the good reverend called the mayor and asked what should  be done.     The mayor asked, ''Why bother me? ""You're a clergyman. It's your job to bury the dead.'' The reverend lost his cool. ''Yes,'' he snapped. ''But I thought I should at least notify the next-of-kin.''  ",Animal,,,,http://jokes.cc.com/funny-animal/zsq7yy/dead-donkey
110,110,Q: What do you call a dog wearing ear muffs? A: Anything you want -- he can't hear you.  ,Animal,,,,http://jokes.cc.com/funny-animal/82k98b/deaf-rover
